ccode,country_name,region_name
4,Afghanistan,South_Asia
248,no_match,Europe
8,Albania,Europe
12,Algeria,Africa
16,American_Samoa,Oceania
20,Andorra,Europe
24,Angola,Africa
660,Anguilla,Caribbean_Central_America
10,no_match,Antarctica
28,Antigua_and_Barbuda,Caribbean_Central_America
32,Argentina,South_America
51,Armenia,Middle_East
533,Aruba,Caribbean_Central_America
36,Australia,Oceania
40,Austria,Europe
31,Azerbaijan,Middle_East
44,Bahamas,Caribbean_Central_America
48,Bahrain,Middle_East
50,Bangladesh,South_Asia
52,Barbados,Caribbean_Central_America
112,Belarus,Europe
56,Belgium,Europe
84,Belize,Caribbean_Central_America
204,Benin,Africa
60,no_match,North_America
64,Bhutan,South_Asia
68,Bolivia,South_America
70,Bosnia_and_Herzegovina,Europe
72,Botswana,Africa
74,no_match,Antarctica
76,Brazil,South_America
86,no_match,South_Asia
96,Brunei,Southeast_Asia
100,Bulgaria,Europe
854,Burkina_Faso,Africa
108,Burundi,Africa
116,Cambodia,Southeast_Asia
120,Cameroon,Africa
124,Canada,North_America
132,Cape_Verde,Africa
136,Cayman_Islands,Caribbean_Central_America
140,Central_African_Republic,Africa
148,Chad,Africa
152,Chile,South_America
156,China,East_Asia
162,no_match,Southeast_Asia
166,no_match,Southeast_Asia
170,Colombia,South_America
174,Comoros,Africa
178,Congo,Africa
180,Democratic_Republic_of_the_Congo,Africa
184,Cook_Islands,Oceania
188,Costa_Rica,Caribbean_Central_America
384,Ivory_Coast,Africa
191,Croatia,Europe
192,Cuba,Caribbean_Central_America
196,Cyprus,Europe
203,Czechia,Europe
208,Denmark,Europe
262,Djibouti,Africa
212,Dominica,Caribbean_Central_America
214,Dominican_Republic,Caribbean_Central_America
218,Ecuador,South_America
818,Egypt,Africa
222,El_Salvador,Caribbean_Central_America
226,Equatorial_Guinea,Africa
232,Eritrea,Africa
233,Estonia,Europe
231,Ethiopia,Africa
238,no_match,South_America
234,no_match,Europe
242,Fiji,Oceania
246,Finland,Europe
250,France,Europe
